"When I opened my account I was not offered Premier Banking. I believe opening an account with {$20000.00} or more they should of offered me premier banking. I served in the XXXX XXXX XXXX XXXX for 4 years and deposited all of my money with this institution then XXXX XXXX owned by Wells Fargo now operating as Wells Fargo. This Branch is located at XXXX XXXX XXXX XXXX XXXX Pennsylvania. I would like my FDIC insurance in full of {$250000.00}. This is impossible dealing with the bank. My Account with them either Checking or Savings I'm not sure it has been 16 years, has been hacked for over {$300000.00}. If anyone could please assist me in this matter I would greatly appreciate it. Thank You, to everyone at the CFPB and I will be retuning to XXXX in XX/XX/2019. I would like my money to be safe with this institution when I return. They have been very kind to my Father.",Checking account
"On XX/XX/XXXX I received a text message at approximately XXXX stating fraud charges. All these charges were use in XXXX, IN. 
Fraud Charges- {$100.00} XXXX XXXX, {$95.00} XXXX XXXX, {$100.00} XXXX XXXX, {$92.00} XXXX XXXX XXXX and {$95.00} XXXX XXXX XXXX. At that time I called BMO Harris Bank and spoke to a representative who filed a dispute she also emailed me a form to take to a branch location in the morning. The representative also stated that I would receive a provisional credit once the forms were received in the REG E dept. She did inform me that it would take 7 to 10 days but I told her that is not acceptable because 2 bills were coming out my account and this would leave my account in the negative. As of today the money has not been placed in my account. I have been on the phone with multiple representatives from XX/XX/XXXX-XX/XX/XXXX. I need action done and someone to reach out to me regarding this matter. This is the short version of the issue. I have more to say but I will discuss th",Checking account
USAA. No matter what I report to my own bank they laugh at me over charges fraudulent charges I have to fight for them to file with the FTC. I found over {$210.00} in overage charges from XXXX the teller last night actually told me I dont know what youre talking about Im sure XXXX did this I had to fight her and say no its all over the news they been hacked. And late XXXX of this year my husband actually took off for two days we were very worried I was on the phone with XXXX and USAA pointing out that there was a with drawl straight out of our savings the lady told me that it went somewhere in Texas he had left not 24 hours before without a car. They sat there and laughed at me while I reported my husband missing something weird is going on with this bank they treat me like XXXX and they take my money and laugh at me,Checking account
"I had over draw protection XXXXautomatic payments come out, I call the bank to get a loan, they decline me over the phone XXXX to fix my acount, decline. I was in a car accedent XX/XX/17. Went in for XXXX My acount got over drawing, no help from the bank over draw fees over XXXX last year alone and closed my last week, now no way to pay my bills XXXX default services XXXX   XXXX XXXX XXXX. XXXX XXXX XXXX XXXXoh XXXX XXXX oh XXXX",Checking account
"On XX/XX/XXXX, I made a mobile deposit for {$45.00}. I got an email confirmation that the mobile check deposit has been received from Citibank. I keep an XXXX spreadsheet of my bank balances with all the despots and withdrawals every day and a I saw that the balance on the account was enough to cover all the checks and ATM withdrawals for the day. 

The next day, on XX/XX/XXXX, however, I saw that my account was overdrawn and my mobile check deposit was still showing as pending. The mobile check deposit didn't post on time unlike what the e-mail confirmation said. Due to this reason I was charged a fee of {$34.00}, however this brought my account to a negative balance. I called the bank to get this fee reversed and they were able to credit my account. 

The next day, on XX/XX/XXXX, I was charged a second overdraft fee of {$34.00} because my account was overdrawn the day before with a negative balance. Then the next day, on XX/XX/XXXX, I got charged another overdraft fee of {$34.00} for being ove",Checking account
"XX/XX/18 - a check for {$1400.00} was presented to the acct. It shows as clearing on that date, with an ending balance of {$160.00}. The following day that check was returned and my account was charged a {$29.00} fee for NSF. I contacted them about the issue and was told "" there are things that go on behind the scenes that you can't see ''. I then asked for them to explain to me how I would be able to manage my account accurately if they did not provide me with accurate information. They did not provide me an answer, only told me that is not how it works. I contacted the XXXX  and have still not been able to speak with USAA regarding the issue. 

Fast forward to now. Last night, XX/XX/18, I transferred funds from my USAA savings account to the USAA checking account. The balance in my account prior to that transfer was just a little over {$300.00}. I made the transfer and went back into the account to make sure it was in there. The "" current balance '' and "" available balance '' both indicated {$",Checking account
"I make monthly payments to the same person to may my rent using the third party company XXXX through my bank account. One time in particular the payment that I sent to my Landlord went to another person and I did not recognize the mistake until nearly a few weeks later. 
I do not know the person that received the money I sent to my landlord. I selected the landlords name from the dropdown menu as I do overtime I send money. The name For my landlord is the only name that drops down because it is the only name that starts with that letter. 
A few weeks later when I was making another rental payment, I noticed an unknown name in all CAPITAL letters for the remaining amount I sent to my landlord. So I contacted XXXX, but because the payment was made from my account, I was instructed to contact my bank and handle the issue through them. I called my bank and explained to them the issue I had encountered and they began to look into it. Starting by giving me a conditional credit for the money missing. 
",Checking account
Navy has been battling for 203 weeks with banking quirks due to a system upgrade. they knew there were issues. now they are still hiding the issues and refuse to work with customers. direct deposit checks are not processed. money is withheld by nfcu ( interest free money? ) and i still do not have my credit into my account. i need my funds. these types of issues are starting to become the norm for nfcu.,Checking account
"I opened an account with Region Bank back in XXXX XXXX XXXX dollars was stolen out of my account between XX/XX/XXXX and XX/XX/XXXX. I reported the matter, I cooperated with the bank did everything they told me to do as far as filing a police report. The bank had decided not to refund me my money back. My money was stolen and I want my money back.",Checking account
"XX/XX/2018 : Forged check showing issue date of XX/XX/2018 and made payable to XXXX XXXX XXXX in the amount of {$2300.00}. The forged check has the earmarks of a washed check as the signature appears to be my signature as does the memo line writing of vehicle fees. The rest of the information on the check is in a separate handwriting. The forgery was discovered by my wife while reviewing bank transactions on the same date. XXXX XXXX, Personal Banker with XXXX XXXX XXXX, XXXX XXXX Branch, NMLS XXXX, XXXX XXXX XXXX, XXXX, CO XXXX, was immediately notified of the forged check. Ms . XXXX reported that her bank would contact the bank which the check was presented to and notify them of the forgery. I learned today that the receiving bank, Wells Fargo, was not notified until XX/XX/2018. This notification was initiated upon my notifying XXXX XXXX that I had been contacted by XXXX XXXX of Wells Fargo Bank, XXXX, GA branch that a man was attempting to withdraw funds from his account that originated from a",Checking account
