"When I opened my account I was not offered Premier Banking. I believe opening an account with {$20000.00} or more they should of offered me premier banking. I served in the XXXX XXXX XXXX XXXX for 4 years and deposited all of my money with this institution then XXXX XXXX owned by Wells Fargo now operating as Wells Fargo. This Branch is located at XXXX XXXX XXXX XXXX XXXX Pennsylvania. I would like my FDIC insurance in full of {$250000.00}. This is impossible dealing with the bank. My Account with them either Checking or Savings I'm not sure it has been 16 years, has been hacked for over {$300000.00}. If anyone could please assist me in this matter I would greatly appreciate it. Thank You, to everyone at the CFPB and I will be retuning to XXXX in XX/XX/2019. I would like my money to be safe with this institution when I return. They have been very kind to my Father.",Checking account
"On XX/XX/XXXX I received a text message at approximately XXXX stating fraud charges. All these charges were use in XXXX, IN. 
Fraud Charges- {$100.00} XXXX XXXX, {$95.00} XXXX XXXX, {$100.00} XXXX XXXX, {$92.00} XXXX XXXX XXXX and {$95.00} XXXX XXXX XXXX. At that time I called BMO Harris Bank and spoke to a representative who filed a dispute she also emailed me a form to take to a branch location in the morning. The representative also stated that I would receive a provisional credit once the forms were received in the REG E dept. She did inform me that it would take 7 to 10 days but I told her that is not acceptable because 2 bills were coming out my account and this would leave my account in the negative. As of today the money has not been placed in my account. I have been on the phone with multiple representatives from XX/XX/XXXX-XX/XX/XXXX. I need action done and someone to reach out to me regarding this matter. This is the short version of the issue. I have more to say but I will discuss this with BM",Checking account
USAA. No matter what I report to my own bank they laugh at me over charges fraudulent charges I have to fight for them to file with the FTC. I found over {$210.00} in overage charges from XXXX the teller last night actually told me I dont know what youre talking about Im sure XXXX did this I had to fight her and say no its all over the news they been hacked. And late XXXX of this year my husband actually took off for two days we were very worried I was on the phone with XXXX and USAA pointing out that there was a with drawl straight out of our savings the lady told me that it went somewhere in Texas he had left not 24 hours before without a car. They sat there and laughed at me while I reported my husband missing something weird is going on with this bank they treat me like XXXX and they take my money and laugh at me,Checking account
"I had over draw protection XXXXautomatic payments come out, I call the bank to get a loan, they decline me over the phone XXXX to fix my acount, decline. I was in a car accedent XX/XX/17. Went in for XXXX My acount got over drawing, no help from the bank over draw fees over XXXX last year alone and closed my last week, now no way to pay my bills XXXX default services XXXX   XXXX XXXX XXXX. XXXX XXXX XXXX XXXXoh XXXX XXXX oh XXXX",Checking account
"We opened an additional checking account in XXXX of this year at US Bank. This is one of many accounts we have there. At the time of opening, I specifically asked the rep if there would be any fees on this account, and she stated no fees, due to the "" package '' we are in. We have discovered they started charging us inappropriately since XXXX, and they only will reverse one month of fees, instead of at least 4 months of fees. This was not our fault, and we were lied to. 
I want all fees since XXXX reversed.",Checking account
yes on XXXX I open a checking account with Citibank the will not help me with my issue I have called the customer service number multiple times and gone into three branches with my California id and Citibank debit card and social security card the clam I am a frudulant and will not help me this is XXXX as I have an account and can not access my own money either through my debit card or online,Checking account
"Hi, I am writing the CFPB to report an incident with USAA in regards to unfair and deceptive acts and practices ( UDAAP ) & the Electronic Funds Transfer Act ( EFTA ).  The problem is that USAA misrepresented the available funds in my checking account thus deceiving me into making a payment that was later reordered to appear overdrawn on the account. I am providing a summary of events as follows. I logged in to my USAA checking account at approximately XXXX XXXX CT on XX/XX/2018. I observed an available balance of {$200.00}. I used this information to make a payment of {$200.00} from my USAA checking account to my USAA credit card at XXXX XXXX. I also tested out transferring funds from an external account. Upon review of my checking account, USAA changed the order of deposits and placed the credit card payment ahead of the reported account balance, resulting in an overdrawn balance. I contacted USAA chat to confirm that this must have been an error on USAA 's part. The chat representative ( chat rep )  cl",Checking account
Some time in May I lost my TFc bank card and me and my son socials in my wallet I hade XXXX $ on my card that I needed to use for my son milk I happen to notice that I didnt have my wallet so I pankied because this is unlike me I even called the police they said they can mske a report but they couldnt do nonthing about it I called the bank they said my account was on locked and closed because it was in a negative,Checking account
Regions Bank charged me multiple times for checking my account at another atm. Which is understandable but they charge me too many times ; I only checked twice causing me to overdraft. Later I was charged for something that was supposed to have been declined.,Checking account
I deposited a check for {$1400.00} on XX/XX/2018 the funds are usually available in two days after checking my account Wednesday Wednesday XX/XX/2018 I realized that my funds were not available yet so I contacted the bank the bank told me there's a fraudulent hold on the check I spoke with supervisors who would not give me their ID numbers I spoke with fraud protection who will not give me their ID numbers I even spoke to the bank that the check was written out of I gave Santander Bank the numbers of my company the number of the bank that the check was drawn on and I'm still getting nowhere they got a hold on my check that doesn't need to be there my name is on the check it is my checking account it also says payroll check there's no need for a hold on this check it is XXXX time I can't buy gifts this was my layoff check I explained everything to Santander Bank and they don't care,Checking account
"There were two transactions processed for a bill normally charged ACH monthly that were not supposed to come out for {$43.00} and {$50.00}, overdrawing my account. Upon checking with the bank, overdraft protection was enabled and pulled out four transfers to my checking account after specifically turning this feature off. Bank of America informed me I would be charged {$12.00} fees for four transactions, totaling {$48.00} in fees. I will also be charged {$35.00} for each transaction that overdraws my account and there is a {$63.00} hold on my account for something not disclosed to me by Bank of America ; they have no idea where the transaction is coming from or what it is.",Checking account
"There are several unauthorized ATM transactions on my Santander debit card. I tried resolving this over the phone but got disconnected. Im XXXX  so I have to use a relay service. Theyre not always the most reliable. I was able to order my replacement debit card but the claim wasnt filed because I was disconnected and couldnt get back through. So, here are the transactions I need to dispute. In addition to these, there are also many ATM fees associated with the fraudulent transactions. The fraudulent ATM transactions are XX/XX/2018 for {$800.00} and {$180.00} at XXXX XXXX. There are also two pending ATM transactions with a date of XX/XX/2018 for {$500.00} at XXXX XXXX  and {$33.00} at XXXX XXXX.",Checking account
"I started a new job on XX/XX/XXXX. I received my 1st paycheck from them on XX/XX/XXXX. Since CitiBank wouldn't verify my acct belonged to me. XXXX had to cut me a live check ( paper check ). I received the check via snail mail on XX/XX/XXXX, in which I deposited in the ATM. The net pay was {$1600.00}. After depositing the check I saw that none of the funds weren't available so I tried to cancel the ATM deposit. The check was cut from XXXX XXXX I was just going to cash it at a Branch on Sunday XX/XX/XXXX. The ATM wouldn't return the check. Which what brings me to CFPB. 

I called CitiBank at around XXXX XXXX CST and spoke with a XXXX ( Supervisor ) Employee ID XXXX contact number XXXX. I explained that I've been a customer of CitiBank since XXXX and that I never had this issue and I needed the funds to be available within the next day. Being as XXXX in 1 week away. She was very nasty, unemphatic, and sarcastic. Basically, she stated that she will not release the funds no sooner than 3 days. I asked her on ",Checking account
"I had a real good friend who has a checking account with SUNTRUST BANK in XXXX, Ga. He put me on his checking account in XX/XX/2008 after he had a real bad scare that he might die, instead he lost his right leg. He did this so that I could take care of his bills in case he couldnt. On or about XX/XX/2018 he had a massive XXXX  and was found by his EX DAUGHTER-IN-LAW and sent by ambulance to the emergency room. That left her with his keys to everything hes got, his wallet, identification and his ATM CARD without a pin number, she then took the ATM CARD and used it as a CREDIT CARD with no pin and charged over {$3000.00}. He then went to a nursing home for rehabilitation on XX/XX/2018. In the meantime I was trying to get in touch with him on the phone because we talked every week at least one maybe more. When I could not get him I called his grandson that was staying with him, the grandson told me a great big lie. So I kept trying to get my friend on the phone finally call me form the nursing home to tell m",Checking account
On XX/XX/18 I had {$21.00} in my account after my {$10.00} and {$7.00} transactions cleared I had {$3.00}. I then had a payment for {$82.00} come out of my account. this should have put me negative {$78.00} however regions changed the timeline of the transactions to make it so that I would over drawn multiple times and receive multiple fee 's. they made the {$82.00} transaction come out first even though it was the last transaction made that day resulting in me receiving over {$100.00} in overdraft fee 's. I am a XXXX XXXX with medical issues and feel completely taken advantage of. this is literally making it so I can not get my children groceries. when I asked regions for information on how to submit a complaint I was told I would be transferred to the department however was transferred back into the automated voice system. I want the fee 's refunded asap.,Checking account
